Date;Open;High;Low;Close;Volume
2017.07.04  08:00:00;146.500;146.595;145.970;146.272;32817
2017.07.04  12:00:00;146.269;146.469;146.205;146.341;18339
2017.07.04  16:00:00;146.344;146.463;146.143;146.289;19676
2017.07.04  20:00:00;146.291;146.382;146.202;146.318;30392
2017.07.05  00:00:00;146.218;146.451;146.016;146.180;14984
2017.07.05  04:00:00;146.183;146.265;145.998;146.246;18360
2017.07.05  08:00:00;146.249;146.702;146.143;146.505;33894
2017.07.05  12:00:00;146.507;146.787;146.406;146.692;28491
2017.07.05  16:00:00;146.696;146.743;146.079;146.294;37181
2017.07.05  20:00:00;146.296;146.585;146.098;146.440;23083
2017.07.06  00:00:00;146.465;146.477;146.086;146.186;12251
2017.07.06  04:00:00;146.186;146.334;146.038;146.232;17116
2017.07.06  08:00:00;146.232;146.649;146.219;146.370;25977
2017.07.06  12:00:00;146.370;147.257;146.343;146.609;39902
2017.07.06  16:00:00;146.609;147.024;146.119;146.941;42093
2017.07.06  20:00:00;146.941;146.988;146.742;146.807;17035
2017.07.07  00:00:00;146.707;146.919;146.652;146.792;10048
2017.07.07  04:00:00;146.793;147.599;146.774;147.339;25351
2017.07.07  08:00:00;147.346;147.471;146.830;146.989;30158
2017.07.07  12:00:00;146.989;146.989;146.381;146.668;38118
2017.07.07  16:00:00;146.666;147.048;146.469;146.951;42235
2017.07.07  20:00:00;146.950;146.959;146.640;146.640;15817
2017.07.10  00:00:00;146.648;147.155;146.648;147.062;8932
2017.07.10  04:00:00;147.061;147.275;147.057;147.136;13077
2017.07.10  08:00:00;147.135;147.439;146.862;146.910;33521
2017.07.10  12:00:00;146.910;147.184;146.768;146.984;28167
2017.07.10  16:00:00;146.984;147.096;146.692;146.992;30850
2017.07.10  20:00:00;146.992;147.061;146.817;146.850;16584
2017.07.11  00:00:00;146.821;147.117;146.821;147.002;11280
2017.07.11  04:00:00;147.002;147.285;146.882;147.238;20837
2017.07.11  08:00:00;147.238;147.709;147.177;147.594;29992
2017.07.11  12:00:00;147.596;147.760;147.123;147.163;28124
2017.07.11  16:00:00;147.164;147.201;146.160;146.390;44234
2017.07.11  20:00:00;146.390;146.497;146.180;146.352;21884
2017.07.12  00:00:00;146.248;146.405;146.133;146.208;14697
2017.07.12  04:00:00;146.207;146.217;145.617;145.749;27079
2017.07.12  08:00:00;145.748;145.871;145.255;145.769;34968
2017.07.12  12:00:00;145.771;146.305;145.594;145.643;39731
2017.07.12  16:00:00;145.644;146.091;145.530;145.996;49590
2017.07.12  20:00:00;145.995;146.110;145.734;145.742;19970
2017.07.13  00:00:00;145.742;146.346;145.742;146.038;13494
2017.07.13  04:00:00;146.040;146.101;145.536;145.796;28862
2017.07.13  08:00:00;145.797;146.519;145.664;146.198;33743
2017.07.13  12:00:00;146.198;146.801;145.834;146.668;39157
2017.07.13  16:00:00;146.667;146.857;146.366;146.423;36799
2017.07.13  20:00:00;146.421;146.613;146.375;146.574;22662
2017.07.14  00:00:00;146.506;146.911;146.506;146.866;13431
2017.07.14  04:00:00;146.866;146.966;146.750;146.925;22009
2017.07.14  08:00:00;146.924;147.029;146.543;146.758;28065
2017.07.14  12:00:00;146.758;146.944;145.998;146.122;35898
2017.07.14  16:00:00;146.117;147.402;146.053;147.252;47590
2017.07.14  20:00:00;147.249;147.559;147.093;147.286;18363
2017.07.17  00:00:00;147.316;147.567;147.310;147.436;14994
2017.07.17  04:00:00;147.436;147.595;147.379;147.453;23937
